# Server version 0.08 running on wpa079127.wireless.mcgill.ca:8123
# Game ID: 15
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Feb 15 14:32:40 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on wpa079127.wireless.mcgill.ca
# Player 2: Player-1, 'xxxxxxxxx', running on wpa079127.wireless.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 xxxxxxxxx
PIT 0 9
PIT 1 23
PIT 0 0
PIT 1 19
PIT 0 15
PIT 1 24
PIT 0 24
PIT 1 16
PIT 0 19
PIT 1 12
PIT 0 12
PIT 1 27
PIT 0 13
PIT 1 22
PIT 0 7
PIT 1 27
GAMEOVER WINNER 1
# Game ended: Mon Feb 15 14:32:40 EST 2016
