# Server version 0.08 running on wpa079127.wireless.mcgill.ca:8123
# Game ID: 22
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Feb 15 14:55:03 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on wpa079127.wireless.mcgill.ca
# Player 2: Player-1, 'JianHua', running on wpa079127.wireless.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 JianHua
PIT 0 8
PIT 1 23
PIT 0 14
PIT 1 16
PIT 0 1
PIT 1 15
PIT 0 20
PIT 1 30
PIT 0 11
PIT 1 19
PIT 0 0
PIT 1 31
PIT 0 25
PIT 1 14
GAMEOVER WINNER 1
# Game ended: Mon Feb 15 14:55:03 EST 2016
