# Server version 0.08 running on 192.168.0.101:8123
# Game ID: 24
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Feb 17 00:15:14 EST 2016
# Player 1: Player-0, 'JianHua', running on localhost
# Player 2: Player-1, 'RandomHusPlayer', running on localhost
START Player-0 JianHua
START Player-1 RandomHusPlayer
PIT 0 23
PIT 1 9
PIT 0 20
PIT 1 8
PIT 0 22
PIT 1 0
PIT 0 16
PIT 1 4
PIT 0 31
PIT 1 5
PIT 0 30
PIT 1 3
PIT 0 29
PIT 1 1
PIT 0 31
PIT 1 5
PIT 0 30
PIT 1 10
PIT 0 26
PIT 1 6
PIT 0 31
PIT 1 13
PIT 0 29
PIT 1 11
PIT 0 28
PIT 1 12
PIT 0 31
PIT 1 13
PIT 0 30
PIT 1 14
PIT 0 31
PIT 1 15
PIT 0 28
PIT 1 16
PIT 0 22
GAMEOVER WINNER 0
# Game ended: Wed Feb 17 00:15:14 EST 2016
