# Server version 0.08 running on 192.168.0.101:8123
# Game ID: 27
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Feb 17 00:19:01 EST 2016
# Player 1: Player-0, 'JianHua', running on localhost
# Player 2: Player-1, 'JianHua', running on localhost
START Player-0 JianHua
START Player-1 JianHua
PIT 0 23
PIT 1 23
PIT 0 20
PIT 1 16
PIT 0 25
PIT 1 18
PIT 0 14
PIT 1 24
PIT 0 25
PIT 1 21
PIT 0 13
PIT 1 25
PIT 0 23
PIT 1 29
PIT 0 10
PIT 1 27
PIT 0 15
PIT 1 28
PIT 0 16
PIT 1 31
PIT 0 30
PIT 1 30
PIT 0 14
PIT 1 15
PIT 0 16
PIT 1 13
PIT 0 28
PIT 1 10
PIT 0 25
PIT 1 4
PIT 0 31
PIT 1 6
PIT 0 30
PIT 1 7
PIT 0 29
PIT 1 12
PIT 0 31
PIT 1 13
PIT 0 30
PIT 1 14
PIT 0 28
PIT 1 10
PIT 0 31
PIT 1 5
PIT 0 30
GAMEOVER WINNER 0
# Game ended: Wed Feb 17 00:19:01 EST 2016
