# Server version 0.08 running on asavpn23444.vpn.mcgill.ca:8123
# Game ID: 29
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Feb 17 19:17:52 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, 'JianHua', running on localhost
START Player-0 RandomHusPlayer
START Player-1 JianHua
PIT 0 7
PIT 1 23
PIT 0 10
PIT 1 22
PIT 0 3
PIT 1 18
PIT 0 14
PIT 1 27
PIT 0 0
PIT 1 31
PIT 0 4
PIT 1 26
PIT 0 1
PIT 1 29
PIT 0 5
PIT 1 17
PIT 0 3
PIT 1 31
PIT 0 4
PIT 1 30
PIT 0 7
PIT 1 28
PIT 0 8
PIT 1 31
PIT 0 11
PIT 1 29
PIT 0 5
PIT 1 30
PIT 0 12
PIT 1 23
GAMEOVER WINNER 1
# Game ended: Wed Feb 17 19:17:52 EST 2016
