# Server version 0.08 running on asavpn23444.vpn.mcgill.ca:8123
# Game ID: 57
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Feb 17 20:42:34 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on asavpn23444.vpn.mcgill.ca
# Player 2: Player-1, 'JianHua', running on asavpn23444.vpn.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 JianHua
PIT 0 19
PIT 1 23
PIT 0 23
PIT 1 17
PIT 0 4
PIT 1 16
PIT 0 7
PIT 1 0
PIT 0 3
PIT 1 27
PIT 0 1
PIT 1 21
PIT 0 12
PIT 1 6
PIT 0 24
PIT 1 24
PIT 0 10
PIT 1 2
PIT 0 2
PIT 1 0
PIT 0 4
PIT 1 27
PIT 0 9
PIT 1 3
PIT 0 10
PIT 1 13
PIT 0 13
PIT 1 19
PIT 0 5
PIT 1 0
PIT 0 3
PIT 1 1
PIT 0 0
PIT 1 2
GAMEOVER WINNER 1
# Game ended: Wed Feb 17 20:42:35 EST 2016
