# Server version 0.08 running on asavpn23444.vpn.mcgill.ca:8123
# Game ID: 58
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Feb 17 20:42:45 EST 2016
# Player 1: Player-0, 'JianHua', running on asavpn23444.vpn.mcgill.ca
# Player 2: Player-1, 'RandomHusPlayer', running on asavpn23444.vpn.mcgill.ca
START Player-0 JianHua
START Player-1 RandomHusPlayer
PIT 0 0
PIT 1 0
PIT 0 22
PIT 1 19
PIT 0 24
PIT 1 15
PIT 0 25
PIT 1 20
PIT 0 18
PIT 1 21
PIT 0 19
PIT 1 6
PIT 0 28
PIT 1 3
PIT 0 16
PIT 1 1
PIT 0 17
PIT 1 7
PIT 0 0
PIT 1 5
PIT 0 6
GAMEOVER WINNER 0
# Game ended: Wed Feb 17 20:42:45 EST 2016
