# Server version 0.08 running on asavpn23444.vpn.mcgill.ca:8123
# Game ID: 65
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Feb 17 20:45:24 EST 2016
# Player 1: Player-0, 'JianHua', running on localhost
# Player 2: Player-1, 'JianHua1', running on localhost
START Player-0 JianHua
START Player-1 JianHua1
PIT 0 0
PIT 1 23
PIT 0 3
PIT 1 19
PIT 0 9
PIT 1 20
PIT 0 15
PIT 1 15
PIT 0 17
PIT 1 17
PIT 0 24
PIT 1 18
PIT 0 11
PIT 1 19
PIT 0 15
PIT 1 20
PIT 0 0
PIT 1 21
PIT 0 1
PIT 1 22
PIT 0 2
PIT 1 23
PIT 0 3
PIT 1 24
PIT 0 4
PIT 1 25
PIT 0 6
PIT 1 14
PIT 0 8
PIT 1 1
PIT 0 0
PIT 1 0
PIT 0 14
PIT 1 3
PIT 0 29
GAMEOVER WINNER 0
# Game ended: Wed Feb 17 20:45:46 EST 2016
