# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 84
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Feb 17 20:58:52 EST 2016
# Player 1: Player-0, 'JianHua', running on localhost
# Player 2: Player-1, 'JianHua1', running on localhost
START Player-0 JianHua
START Player-1 JianHua1
PIT 0 22
PIT 1 23
PIT 0 21
PIT 1 20
PIT 0 0
PIT 1 22
PIT 0 16
PIT 1 19
PIT 0 10
PIT 1 24
PIT 0 12
PIT 1 15
PIT 0 14
PIT 1 12
PIT 0 17
PIT 1 19
PIT 0 18
PIT 1 22
PIT 0 20
PIT 1 21
PIT 0 22
PIT 1 31
PIT 0 3
PIT 1 30
PIT 0 0
PIT 1 28
PIT 0 6
PIT 1 27
PIT 0 23
PIT 1 30
PIT 0 28
PIT 1 25
PIT 0 9
PIT 1 26
PIT 0 8
PIT 1 27
PIT 0 14
PIT 1 30
PIT 0 16
PIT 1 24
PIT 0 18
PIT 1 10
PIT 0 0
PIT 1 11
PIT 0 1
PIT 1 12
PIT 0 9
PIT 1 9
PIT 0 0
PIT 1 7
PIT 0 3
GAMEOVER WINNER 0
# Game ended: Wed Feb 17 20:58:55 EST 2016
