# Server version 0.08 running on 192.168.0.101:8123
# Game ID: 94
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Feb 18 21:52:02 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 192.168.0.101
# Player 2: Player-1, 'JianHua', running on 192.168.0.101
START Player-0 RandomHusPlayer
START Player-1 JianHua
PIT 0 11
PIT 1 5
PIT 0 4
PIT 1 17
PIT 0 5
PIT 1 18
PIT 0 2
PIT 1 23
PIT 0 1
PIT 1 27
PIT 0 8
PIT 1 2
PIT 0 21
PIT 1 15
PIT 0 18
PIT 1 14
PIT 0 0
PIT 1 16
PIT 0 11
PIT 1 1
PIT 0 14
PIT 1 27
GAMEOVER WINNER 1
# Game ended: Thu Feb 18 21:52:03 EST 2016
