# Server version 0.08 running on wpa079042.wireless.mcgill.ca:8123
# Game ID: 120
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Feb 19 12:13:03 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on wpa079042.wireless.mcgill.ca
# Player 2: Player-1, 'JianHua-AlphaBeta', running on wpa079042.wireless.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 JianHua-AlphaBeta
PIT 0 23
PIT 1 22
PIT 0 2
PIT 1 0
PIT 0 14
PIT 1 9
PIT 0 9
PIT 1 15
PIT 0 1
PIT 1 21
PIT 0 18
PIT 1 18
PIT 0 0
PIT 1 1
PIT 0 5
PIT 1 8
PIT 0 21
PIT 1 17
PIT 0 10
PIT 1 20
GAMEOVER WINNER 1
# Game ended: Fri Feb 19 12:13:09 EST 2016
