# Server version 0.08 running on wpa079042.wireless.mcgill.ca:8123
# Game ID: 128
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Feb 19 12:23:58 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on wpa079042.wireless.mcgill.ca
# Player 2: Player-1, 'RandomHusPlayer', running on wpa079042.wireless.mcgill.ca
START Player-0 JianHua-AlphaBeta
START Player-1 RandomHusPlayer
PIT 0 6
PIT 1 12
PIT 0 22
PIT 1 13
PIT 0 12
PIT 1 18
PIT 0 18
PIT 1 15
PIT 0 2
PIT 1 4
PIT 0 11
PIT 1 19
PIT 0 22
PIT 1 0
PIT 0 8
PIT 1 22
PIT 0 3
PIT 1 3
PIT 0 21
PIT 1 24
PIT 0 8
GAMEOVER WINNER 0
# Game ended: Fri Feb 19 12:24:06 EST 2016
