# Server version 0.08 running on wpa079042.wireless.mcgill.ca:8123
# Game ID: 158
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Feb 19 13:27:41 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'JianHua-MiniMax', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 JianHua-MiniMax
PIT 0 6
PIT 1 6
PIT 0 13
PIT 1 22
PIT 0 7
PIT 1 9
PIT 0 12
PIT 1 19
PIT 0 13
PIT 1 21
PIT 0 25
PIT 1 15
PIT 0 27
PIT 1 29
PIT 0 22
PIT 1 17
PIT 0 23
PIT 1 16
PIT 0 25
PIT 1 6
PIT 0 24
PIT 1 14
PIT 0 27
PIT 1 17
PIT 0 29
PIT 1 28
PIT 0 30
PIT 1 1
PIT 0 1
PIT 1 0
PIT 0 2
PIT 1 1
PIT 0 3
PIT 1 2
PIT 0 4
PIT 1 4
PIT 0 8
PIT 1 5
PIT 0 13
PIT 1 6
PIT 0 10
PIT 1 0
PIT 0 11
PIT 1 30
PIT 0 14
PIT 1 1
PIT 0 12
PIT 1 0
PIT 0 16
PIT 1 10
PIT 0 18
PIT 1 1
GAMEOVER WINNER 1
# Game ended: Fri Feb 19 13:27:49 EST 2016
