# Server version 0.08 running on asavpn23587.vpn.mcgill.ca:8123
# Game ID: 180
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Fri Feb 19 22:31:23 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on asavpn23587.vpn.mcgill.ca
# Player 2: Player-1, 'RandomHusPlayer', running on asavpn23587.vpn.mcgill.ca
START Player-0 JianHua-AlphaBeta
START Player-1 RandomHusPlayer
PIT 0 6
PIT 1 22
PIT 0 21
PIT 1 7
PIT 0 15
PIT 1 24
PIT 0 9
PIT 1 13
PIT 0 23
PIT 1 0
PIT 0 25
PIT 1 16
PIT 0 24
PIT 1 19
PIT 0 17
PIT 1 3
PIT 0 26
PIT 1 1
PIT 0 21
PIT 1 5
PIT 0 1
PIT 1 7
PIT 0 16
PIT 1 8
PIT 0 20
PIT 1 11
PIT 0 23
PIT 1 12
PIT 0 27
PIT 1 13
PIT 0 24
GAMEOVER WINNER 0
# Game ended: Fri Feb 19 22:31:29 EST 2016
