# Server version 0.08 running on asavpn23587.vpn.mcgill.ca:8123
# Game ID: 182
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Fri Feb 19 22:32:08 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on asavpn23587.vpn.mcgill.ca
# Player 2: Player-1, 'JianHua-AlphaBeta', running on asavpn23587.vpn.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 JianHua-AlphaBeta
PIT 0 11
PIT 1 22
PIT 0 12
PIT 1 1
PIT 0 4
PIT 1 20
PIT 0 1
PIT 1 19
PIT 0 21
PIT 1 4
PIT 0 10
PIT 1 0
PIT 0 2
PIT 1 21
PIT 0 0
PIT 1 24
PIT 0 18
PIT 1 14
PIT 0 22
PIT 1 30
PIT 0 23
PIT 1 18
PIT 0 25
PIT 1 26
PIT 0 27
PIT 1 21
GAMEOVER WINNER 1
# Game ended: Fri Feb 19 22:32:12 EST 2016
