# Server version 0.08 running on asavpn233248.vpn.mcgill.ca:8123
# Game ID: 192
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Fri Feb 19 22:39:10 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'JianHua1', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 JianHua1
PIT 0 6
PIT 1 23
PIT 0 15
PIT 1 16
PIT 0 10
PIT 1 15
PIT 0 16
PIT 1 17
PIT 0 9
PIT 1 14
PIT 0 15
PIT 1 21
PIT 0 14
PIT 1 27
PIT 0 17
PIT 1 25
PIT 0 16
PIT 1 31
PIT 0 0
PIT 1 29
PIT 0 23
PIT 1 10
PIT 0 19
PIT 1 6
PIT 0 1
PIT 1 7
PIT 0 5
PIT 1 8
PIT 0 6
PIT 1 9
PIT 0 7
PIT 1 10
PIT 0 0
GAMEOVER WINNER 0
# Game ended: Fri Feb 19 22:39:16 EST 2016
