# Server version 0.08 running on asavpn233248.vpn.mcgill.ca:8123
# Game ID: 193
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Fri Feb 19 22:39:17 EST 2016
# Player 1: Player-0, 'JianHua1', running on localhost
# Player 2: Player-1, 'JianHua-AlphaBeta', running on localhost
START Player-0 JianHua1
START Player-1 JianHua-AlphaBeta
PIT 0 23
PIT 1 22
PIT 0 22
PIT 1 4
PIT 0 25
PIT 1 21
PIT 0 14
PIT 1 13
PIT 0 9
PIT 1 22
PIT 0 16
PIT 1 7
PIT 0 15
PIT 1 20
PIT 0 17
PIT 1 22
PIT 0 29
PIT 1 18
PIT 0 19
PIT 1 21
PIT 0 25
PIT 1 0
PIT 0 31
PIT 1 1
PIT 0 28
PIT 1 2
PIT 0 7
PIT 1 23
PIT 0 30
PIT 1 26
PIT 0 31
PIT 1 0
PIT 0 29
PIT 1 25
PIT 0 27
PIT 1 29
PIT 0 26
PIT 1 0
PIT 0 28
PIT 1 7
PIT 0 30
PIT 1 18
PIT 0 22
PIT 1 19
PIT 0 12
PIT 1 1
PIT 0 13
PIT 1 2
PIT 0 14
PIT 1 3
PIT 0 15
PIT 1 17
PIT 0 16
PIT 1 7
PIT 0 17
PIT 1 14
PIT 0 5
PIT 1 4
PIT 0 8
PIT 1 0
PIT 0 9
PIT 1 1
PIT 0 10
PIT 1 5
GAMEOVER WINNER 1
# Game ended: Fri Feb 19 22:39:22 EST 2016
