# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 198
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sat Feb 20 09:44:59 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'JianHua-MiniMax', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 JianHua-MiniMax
PIT 0 6
PIT 1 6
PIT 0 15
PIT 1 18
PIT 0 10
PIT 1 12
PIT 0 12
PIT 1 13
PIT 0 20
PIT 1 17
PIT 0 15
PIT 1 28
PIT 0 25
PIT 1 9
PIT 0 17
PIT 1 19
PIT 0 21
PIT 1 21
PIT 0 20
PIT 1 1
PIT 0 1
PIT 1 5
PIT 0 24
PIT 1 6
PIT 0 25
PIT 1 23
PIT 0 22
PIT 1 9
PIT 0 0
PIT 1 26
PIT 0 2
PIT 1 24
PIT 0 23
PIT 1 25
PIT 0 16
PIT 1 29
PIT 0 2
PIT 1 2
PIT 0 0
PIT 1 12
PIT 0 18
PIT 1 15
PIT 0 6
PIT 1 10
PIT 0 4
PIT 1 16
PIT 0 19
GAMEOVER WINNER 0
# Game ended: Sat Feb 20 09:45:09 EST 2016
