# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 205
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sat Feb 20 09:58:17 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on 192.168.0.100
# Player 2: Player-1, 'RandomHusPlayer', running on 192.168.0.100
START Player-0 JianHua-AlphaBeta
START Player-1 RandomHusPlayer
PIT 0 6
PIT 1 21
PIT 0 15
PIT 1 19
PIT 0 19
PIT 1 0
PIT 0 23
PIT 1 4
PIT 0 2
PIT 1 3
PIT 0 20
PIT 1 1
PIT 0 10
PIT 1 10
PIT 0 23
PIT 1 8
PIT 0 1
PIT 1 9
PIT 0 2
PIT 1 10
PIT 0 0
PIT 1 11
PIT 0 1
PIT 1 14
PIT 0 1
PIT 1 15
PIT 0 2
PIT 1 16
PIT 0 3
PIT 1 17
PIT 0 0
PIT 1 18
PIT 0 29
GAMEOVER WINNER 0
# Game ended: Sat Feb 20 09:58:23 EST 2016
