# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 206
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sat Feb 20 09:58:35 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 192.168.0.100
# Player 2: Player-1, 'JianHua-AlphaBeta', running on 192.168.0.100
START Player-0 RandomHusPlayer
START Player-1 JianHua-AlphaBeta
PIT 0 6
PIT 1 6
PIT 0 12
PIT 1 18
PIT 0 1
PIT 1 13
PIT 0 10
PIT 1 15
PIT 0 2
PIT 1 25
PIT 0 4
PIT 1 28
PIT 0 0
PIT 1 8
PIT 0 6
PIT 1 27
PIT 0 7
PIT 1 2
PIT 0 11
PIT 1 14
PIT 0 12
PIT 1 7
PIT 0 20
PIT 1 17
PIT 0 16
PIT 1 19
PIT 0 22
PIT 1 1
PIT 0 23
PIT 1 2
PIT 0 24
PIT 1 0
PIT 0 25
PIT 1 1
PIT 0 26
PIT 1 5
PIT 0 27
PIT 1 7
PIT 0 28
PIT 1 22
PIT 0 29
PIT 1 6
GAMEOVER WINNER 1
# Game ended: Sat Feb 20 09:58:40 EST 2016
