# Server version 0.08 running on localhost:8123
# Game ID: 260
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sat Feb 20 13:58:43 EST 2016
# Player 1: Player-0, 'JianHua-test', running on localhost
# Player 2: Player-1, 'JianHua-MiniMax', running on localhost
START Player-0 JianHua-test
START Player-1 JianHua-MiniMax
PIT 0 22
PIT 1 12
PIT 0 19
PIT 1 4
PIT 0 4
PIT 1 0
PIT 0 13
PIT 1 12
PIT 0 25
PIT 1 21
PIT 0 23
PIT 1 23
PIT 0 8
PIT 1 28
PIT 0 16
PIT 1 22
PIT 0 3
PIT 1 26
PIT 0 4
PIT 1 28
PIT 0 2
PIT 1 0
PIT 0 18
PIT 1 8
PIT 0 8
PIT 1 3
PIT 0 2
PIT 1 10
PIT 0 23
PIT 1 6
PIT 0 18
PIT 1 5
PIT 0 26
PIT 1 9
PIT 0 31
PIT 1 13
PIT 0 3
PIT 1 11
PIT 0 15
PIT 1 12
PIT 0 10
PIT 1 13
PIT 0 6
PIT 1 16
PIT 0 28
GAMEOVER WINNER 0
# Game ended: Sat Feb 20 13:58:55 EST 2016
