# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 266
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sat Feb 20 14:34:23 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 192.168.0.100
# Player 2: Player-1, 'JianHua-test', running on 192.168.0.100
START Player-0 RandomHusPlayer
START Player-1 JianHua-test
PIT 0 17
PIT 1 22
PIT 0 15
PIT 1 3
PIT 0 10
PIT 1 21
PIT 0 16
PIT 1 19
PIT 0 11
PIT 1 28
PIT 0 0
PIT 1 24
PIT 0 20
PIT 1 3
PIT 0 4
PIT 1 6
PIT 0 3
PIT 1 24
PIT 0 8
PIT 1 27
PIT 0 11
PIT 1 8
PIT 0 5
PIT 1 11
PIT 0 14
PIT 1 28
PIT 0 1
PIT 1 21
PIT 0 11
PIT 1 29
PIT 0 14
PIT 1 6
PIT 0 15
PIT 1 11
PIT 0 16
PIT 1 31
PIT 0 17
PIT 1 26
PIT 0 18
PIT 1 17
GAMEOVER WINNER 1
# Game ended: Sat Feb 20 14:34:35 EST 2016
