# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 274
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sat Feb 20 14:46:43 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'JianHua-test', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 JianHua-test
PIT 0 0
PIT 1 1
PIT 0 21
PIT 1 17
PIT 0 24
PIT 1 19
PIT 0 16
PIT 1 22
PIT 0 18
PIT 1 13
PIT 0 12
PIT 1 21
PIT 0 3
PIT 1 23
PIT 0 18
PIT 1 22
PIT 0 1
PIT 1 24
PIT 0 28
PIT 1 7
PIT 0 24
PIT 1 28
PIT 0 5
PIT 1 20
PIT 0 25
PIT 1 17
PIT 0 22
PIT 1 22
PIT 0 27
PIT 1 9
PIT 0 0
PIT 1 11
PIT 0 28
PIT 1 22
PIT 0 30
PIT 1 0
PIT 0 3
PIT 1 26
PIT 0 8
PIT 1 19
PIT 0 15
PIT 1 1
PIT 0 16
PIT 1 19
PIT 0 18
PIT 1 24
PIT 0 4
PIT 1 27
GAMEOVER WINNER 1
# Game ended: Sat Feb 20 14:46:49 EST 2016
