# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 284
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sat Feb 20 17:57:09 EST 2016
# Player 1: Player-0, 'JianHua-test', running on 192.168.0.100
# Player 2: Player-1, 'RandomHusPlayer', running on 192.168.0.100
START Player-0 JianHua-test
START Player-1 RandomHusPlayer
PIT 0 22
PIT 1 5
PIT 0 0
PIT 1 17
PIT 0 16
PIT 1 4
PIT 0 25
PIT 1 15
PIT 0 18
PIT 1 3
PIT 0 20
PIT 1 8
PIT 0 13
PIT 1 0
PIT 0 30
PIT 1 4
PIT 0 25
PIT 1 5
PIT 0 14
PIT 1 10
PIT 0 28
PIT 1 13
PIT 0 19
PIT 1 8
PIT 0 21
PIT 1 1
PIT 0 22
PIT 1 3
PIT 0 14
PIT 1 4
PIT 0 11
PIT 1 14
PIT 0 29
PIT 1 15
PIT 0 26
PIT 1 5
PIT 0 27
PIT 1 8
PIT 0 17
PIT 1 12
PIT 0 0
PIT 1 15
PIT 0 22
PIT 1 16
PIT 0 3
PIT 1 17
PIT 0 1
PIT 1 18
PIT 0 20
PIT 1 19
PIT 0 29
PIT 1 20
PIT 0 21
PIT 1 21
PIT 0 22
GAMEOVER WINNER 0
# Game ended: Sat Feb 20 17:57:18 EST 2016
