# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 286
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sun Feb 21 11:29:51 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'JianHua-AlphaBeta', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 JianHua-AlphaBeta
PIT 0 0
PIT 1 8
PIT 0 7
PIT 1 6
PIT 0 15
PIT 1 12
PIT 0 22
PIT 1 14
PIT 0 6
PIT 1 9
PIT 0 19
PIT 1 17
PIT 0 20
PIT 1 19
PIT 0 21
PIT 1 4
PIT 0 22
PIT 1 20
PIT 0 24
PIT 1 3
PIT 0 8
PIT 1 0
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 5
PIT 0 9
PIT 1 6
PIT 0 30
PIT 1 7
PIT 0 31
PIT 1 22
PIT 0 13
PIT 1 23
PIT 0 12
PIT 1 27
PIT 0 16
PIT 1 14
PIT 0 9
PIT 1 16
PIT 0 4
PIT 1 15
PIT 0 16
PIT 1 8
PIT 0 24
PIT 1 18
PIT 0 22
GAMEOVER WINNER 0
# Game ended: Sun Feb 21 11:29:52 EST 2016
