# Server version 0.08 running on asavpn23292.vpn.mcgill.ca:8123
# Game ID: 294
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sun Feb 21 22:49:44 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on asavpn23292.vpn.mcgill.ca
# Player 2: Player-1, 'JianHua-test', running on asavpn23292.vpn.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 JianHua-test
PIT 0 6
PIT 1 11
PIT 0 7
PIT 1 6
PIT 0 3
PIT 1 20
PIT 0 13
PIT 1 14
PIT 0 2
PIT 1 29
PIT 0 21
PIT 1 23
PIT 0 1
PIT 1 21
PIT 0 6
PIT 1 23
PIT 0 0
PIT 1 24
GAMEOVER WINNER 1
# Game ended: Sun Feb 21 22:49:46 EST 2016
