# Server version 0.08 running on asavpn23292.vpn.mcgill.ca:8123
# Game ID: 299
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sun Feb 21 22:52:19 EST 2016
# Starting at move 12
# Player 1: Player-0, 'JianHua-test', running on asavpn23292.vpn.mcgill.ca
# Player 2: Player-1, 'RandomHusPlayer', running on asavpn23292.vpn.mcgill.ca
START Player-0 JianHua-test
START Player-1 RandomHusPlayer
PIT 0 22
PIT 1 12
PIT 0 18
PIT 1 19
PIT 0 10
PIT 1 18
PIT 0 17
PIT 1 24
PIT 0 19
PIT 1 3
PIT 0 16
PIT 1 25
PIT 0 0
PIT 1 31
PIT 0 3
PIT 1 3
PIT 0 4
PIT 1 10
PIT 0 1
PIT 1 7
PIT 0 6
PIT 1 1
PIT 0 7
PIT 1 23
PIT 0 5
PIT 1 26
PIT 0 11
PIT 1 1
PIT 0 12
PIT 1 6
PIT 0 15
PIT 1 12
GAMEOVER WINNER 1
# Game ended: Sun Feb 21 22:52:19 EST 2016
