# Server version 0.08 running on asavpn23292.vpn.mcgill.ca:8123
# Game ID: 300
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sun Feb 21 22:53:33 EST 2016
# Player 1: Player-0, 'JianHua-test', running on asavpn23292.vpn.mcgill.ca
# Player 2: Player-1, 'RandomHusPlayer', running on asavpn23292.vpn.mcgill.ca
START Player-0 JianHua-test
START Player-1 RandomHusPlayer
PIT 0 22
PIT 1 0
PIT 0 21
PIT 1 6
PIT 0 24
PIT 1 3
PIT 0 29
PIT 1 1
PIT 0 5
PIT 1 8
PIT 0 14
PIT 1 6
PIT 0 26
PIT 1 7
PIT 0 21
PIT 1 8
PIT 0 24
PIT 1 9
PIT 0 26
PIT 1 11
PIT 0 23
PIT 1 13
PIT 0 22
PIT 1 10
PIT 0 14
GAMEOVER WINNER 0
# Game ended: Sun Feb 21 22:53:33 EST 2016
