# Server version 0.08 running on asavpn23292.vpn.mcgill.ca:8123
# Game ID: 302
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sun Feb 21 23:25:49 EST 2016
# Player 1: Player-0, 'JianHua-test', running on localhost
# Player 2: Player-1, 'JianHua-AlphaBeta', running on localhost
START Player-0 JianHua-test
START Player-1 JianHua-AlphaBeta
PIT 0 22
PIT 1 21
PIT 0 4
PIT 1 20
PIT 0 0
PIT 1 3
PIT 0 20
PIT 1 16
PIT 0 19
PIT 1 22
PIT 0 14
PIT 1 13
PIT 0 21
PIT 1 19
PIT 0 4
PIT 1 18
PIT 0 10
PIT 1 26
PIT 0 16
PIT 1 23
PIT 0 18
PIT 1 5
PIT 0 5
PIT 1 29
PIT 0 21
PIT 1 27
PIT 0 24
PIT 1 2
PIT 0 8
PIT 1 3
PIT 0 30
PIT 1 6
PIT 0 27
PIT 1 13
PIT 0 5
PIT 1 10
PIT 0 0
PIT 1 8
PIT 0 26
PIT 1 14
PIT 0 11
PIT 1 9
PIT 0 7
PIT 1 12
PIT 0 19
PIT 1 10
PIT 0 2
PIT 1 13
PIT 0 29
GAMEOVER WINNER 0
# Game ended: Sun Feb 21 23:25:50 EST 2016
