# Server version 0.08 running on asavpn23292.vpn.mcgill.ca:8123
# Game ID: 313
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sun Feb 21 23:33:35 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'JianHua-tester', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 JianHua-tester
PIT 0 0
PIT 1 20
PIT 0 7
PIT 1 4
PIT 0 22
PIT 1 21
PIT 0 16
PIT 1 16
PIT 0 13
PIT 1 17
PIT 0 12
PIT 1 20
PIT 0 22
PIT 1 19
PIT 0 27
PIT 1 27
PIT 0 19
PIT 1 11
PIT 0 29
PIT 1 23
PIT 0 14
PIT 1 24
PIT 0 17
PIT 1 29
PIT 0 0
PIT 1 28
PIT 0 10
PIT 1 27
PIT 0 16
PIT 1 30
PIT 0 17
PIT 1 31
PIT 0 2
PIT 1 3
PIT 0 0
PIT 1 4
PIT 0 1
PIT 1 29
PIT 0 4
PIT 1 0
PIT 0 5
PIT 1 2
PIT 0 7
PIT 1 7
PIT 0 8
PIT 1 3
PIT 0 9
PIT 1 9
PIT 0 25
PIT 1 10
PIT 0 0
PIT 1 4
PIT 0 2
PIT 1 11
PIT 0 3
PIT 1 7
PIT 0 16
PIT 1 12
PIT 0 29
PIT 1 10
PIT 0 0
PIT 1 13
PIT 0 11
PIT 1 11
PIT 0 24
PIT 1 12
PIT 0 30
PIT 1 13
PIT 0 23
PIT 1 16
PIT 0 6
PIT 1 18
PIT 0 7
GAMEOVER WINNER 0
# Game ended: Sun Feb 21 23:33:39 EST 2016
