# Server version 0.08 running on asavpn232179.vpn.mcgill.ca:8123
# Game ID: 352
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Fri Feb 26 22:52:21 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on asavpn232179.vpn.mcgill.ca
# Player 2: Player-1, 'JianHua-test', running on asavpn232179.vpn.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 JianHua-test
PIT 0 6
PIT 1 22
PIT 0 10
PIT 1 19
PIT 0 22
PIT 1 3
PIT 0 0
PIT 1 15
PIT 0 16
PIT 1 13
PIT 0 3
PIT 1 17
PIT 0 21
PIT 1 19
PIT 0 15
PIT 1 23
PIT 0 4
PIT 1 9
PIT 0 1
PIT 1 2
PIT 0 5
PIT 1 27
PIT 0 19
PIT 1 22
GAMEOVER WINNER 1
# Game ended: Fri Feb 26 22:52:30 EST 2016
