# Server version 0.08 running on asavpn232179.vpn.mcgill.ca:8123
# Game ID: 409
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sat Feb 27 00:04:14 EST 2016
# Player 1: Player-0, 'JianHua-test', running on localhost
# Player 2: Player-1, 'WeightTest', running on localhost
START Player-0 JianHua-test
START Player-1 WeightTest
PIT 0 0
PIT 1 20
PIT 0 7
PIT 1 4
PIT 0 22
PIT 1 21
PIT 0 16
PIT 1 16
PIT 0 13
PIT 1 23
PIT 0 14
PIT 1 14
PIT 0 17
PIT 1 18
PIT 0 29
PIT 1 23
PIT 0 25
PIT 1 25
PIT 0 19
PIT 1 20
PIT 0 26
PIT 1 21
PIT 0 16
PIT 1 30
PIT 0 24
PIT 1 27
PIT 0 30
PIT 1 29
PIT 0 2
PIT 1 0
PIT 0 28
PIT 1 16
PIT 0 3
PIT 1 26
PIT 0 31
PIT 1 14
PIT 0 0
PIT 1 16
PIT 0 9
PIT 1 3
PIT 0 4
PIT 1 29
PIT 0 7
PIT 1 30
PIT 0 6
PIT 1 28
PIT 0 9
PIT 1 30
PIT 0 14
PIT 1 3
PIT 0 10
PIT 1 17
PIT 0 11
PIT 1 23
PIT 0 14
PIT 1 27
GAMEOVER WINNER 1
# Game ended: Sat Feb 27 00:04:18 EST 2016
