# Server version 0.08 running on asavpn23420.vpn.mcgill.ca:8123
# Game ID: 419
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sat Feb 27 23:50:21 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on asavpn23420.vpn.mcgill.ca
# Player 2: Player-1, 'JianHua-test', running on asavpn23420.vpn.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 JianHua-test
PIT 0 20
PIT 1 23
PIT 0 6
PIT 1 22
PIT 0 1
PIT 1 24
PIT 0 4
PIT 1 26
PIT 0 0
PIT 1 19
PIT 0 5
PIT 1 22
PIT 0 8
PIT 1 27
PIT 0 9
PIT 1 13
PIT 0 10
PIT 1 6
PIT 0 14
PIT 1 24
GAMEOVER WINNER 1
# Game ended: Sat Feb 27 23:50:22 EST 2016
