# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 565
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Mon Feb 29 11:49:25 EST 2016
# Player 1: Player-0, 'JianHua-test', running on localhost
# Player 2: Player-1, 'WeightTest', running on localhost
START Player-0 JianHua-test
START Player-1 WeightTest
PIT 0 0
PIT 1 16
PIT 0 18
PIT 1 0
PIT 0 19
PIT 1 17
PIT 0 3
PIT 1 19
PIT 0 24
PIT 1 24
PIT 0 7
PIT 1 1
PIT 0 22
PIT 1 6
PIT 0 9
PIT 1 27
PIT 0 15
PIT 1 29
PIT 0 19
PIT 1 23
PIT 0 12
PIT 1 21
PIT 0 18
PIT 1 24
PIT 0 19
PIT 1 31
PIT 0 29
PIT 1 4
PIT 0 28
PIT 1 14
PIT 0 24
PIT 1 7
PIT 0 20
PIT 1 10
PIT 0 25
PIT 1 11
PIT 0 28
GAMEOVER WINNER 0
# Game ended: Mon Feb 29 11:49:37 EST 2016
