# Server version 0.08 running on asavpn235123.vpn.mcgill.ca:8123
# Game ID: 663
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Tue Mar 01 23:49:46 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on asavpn235123.vpn.mcgill.ca
# Player 2: Player-1, 'JianHua-test', running on asavpn235123.vpn.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 JianHua-test
PIT 0 8
PIT 1 6
PIT 0 9
PIT 1 5
PIT 0 20
PIT 1 15
PIT 0 4
PIT 1 9
PIT 0 7
PIT 1 29
PIT 0 1
PIT 1 27
PIT 0 2
PIT 1 7
PIT 0 0
PIT 1 9
PIT 0 4
PIT 1 24
PIT 0 5
PIT 1 8
PIT 0 11
PIT 1 31
PIT 0 6
PIT 1 29
PIT 0 9
PIT 1 30
GAMEOVER WINNER 1
# Game ended: Tue Mar 01 23:49:47 EST 2016
