# Server version 0.08 running on asavpn235123.vpn.mcgill.ca:8123
# Game ID: 716
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Wed Mar 02 00:11:25 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'JianHua-test', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 JianHua-test
PIT 0 0
PIT 1 20
PIT 0 10
PIT 1 1
PIT 0 22
PIT 1 10
PIT 0 15
PIT 1 8
PIT 0 9
PIT 1 19
PIT 0 16
PIT 1 24
PIT 0 11
PIT 1 18
PIT 0 22
PIT 1 27
PIT 0 24
PIT 1 23
PIT 0 11
PIT 1 30
PIT 0 2
PIT 1 29
PIT 0 29
PIT 1 24
PIT 0 1
PIT 1 20
PIT 0 31
PIT 1 8
PIT 0 6
PIT 1 31
PIT 0 4
PIT 1 30
PIT 0 26
PIT 1 9
PIT 0 1
PIT 1 8
PIT 0 25
PIT 1 16
PIT 0 27
PIT 1 17
PIT 0 9
PIT 1 26
PIT 0 18
PIT 1 12
PIT 0 23
PIT 1 31
PIT 0 7
PIT 1 30
PIT 0 31
PIT 1 15
PIT 0 10
PIT 1 23
PIT 0 4
PIT 1 26
PIT 0 0
PIT 1 20
PIT 0 2
PIT 1 19
PIT 0 14
PIT 1 0
PIT 0 15
PIT 1 3
PIT 0 13
PIT 1 4
PIT 0 16
PIT 1 25
GAMEOVER WINNER 1
# Game ended: Wed Mar 02 00:11:27 EST 2016
