# Server version 0.08 running on asavpn23528.vpn.mcgill.ca:8123
# Game ID: 891
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Thu Mar 03 19:26:56 EST 2016
# Player 1: Player-0, 'WeightTest', running on localhost
# Player 2: Player-1, 'JianHua-AlphaBeta', running on localhost
START Player-0 WeightTest
START Player-1 JianHua-AlphaBeta
PIT 0 0
PIT 1 20
PIT 0 7
PIT 1 1
PIT 0 13
PIT 1 19
PIT 0 9
PIT 1 4
PIT 0 21
PIT 1 13
PIT 0 12
PIT 1 15
PIT 0 22
PIT 1 19
PIT 0 27
PIT 1 27
PIT 0 29
PIT 1 28
PIT 0 1
PIT 1 3
PIT 0 28
PIT 1 4
PIT 0 11
PIT 1 13
PIT 0 2
PIT 1 1
PIT 0 3
PIT 1 14
PIT 0 5
PIT 1 22
PIT 0 6
PIT 1 4
PIT 0 8
PIT 1 10
PIT 0 7
PIT 1 22
PIT 0 12
PIT 1 29
PIT 0 15
PIT 1 28
PIT 0 17
PIT 1 23
GAMEOVER WINNER 1
# Game ended: Thu Mar 03 19:27:10 EST 2016
