# Server version 0.08 running on asavpn232167.vpn.mcgill.ca:8123
# Game ID: 930
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Fri Mar 04 23:23:47 EST 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'IterativeDeepening', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 IterativeDeepening
PIT 0 22
PIT 1 0
PIT 0 21
PIT 1 1
PIT 0 24
PIT 1 3
PIT 0 19
PIT 1 5
PIT 0 13
PIT 1 8
PIT 0 25
PIT 1 11
PIT 0 14
PIT 1 12
PIT 0 3
GAMEOVER WINNER 0
# Game ended: Fri Mar 04 23:23:50 EST 2016
