# Server version 0.08 running on wpa079052.wireless.mcgill.ca:8123
# Game ID: 1037
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Mon Mar 07 12:55:49 EST 2016
# Player 1: Player-0, 'Human', running on wpa079052.wireless.mcgill.ca
# Player 2: Player-1, 'JianHua-test', running on wpa079052.wireless.mcgill.ca
START Player-0 Human
START Player-1 JianHua-test
PIT 0 19
PIT 1 23
PIT 0 8
PIT 1 2
PIT 0 12
PIT 1 14
PIT 0 4
PIT 1 18
PIT 0 18
PIT 1 22
PIT 0 3
PIT 1 28
PIT 0 2
PIT 1 23
PIT 0 1
PIT 1 25
PIT 0 0
PIT 1 27
GAMEOVER WINNER 1
# Game ended: Mon Mar 07 12:56:43 EST 2016
