# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1050
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sat Mar 12 09:43:40 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 192.168.0.100
# Player 2: Player-1, 'JianHua-test', running on 192.168.0.100
START Player-0 RandomHusPlayer
START Player-1 JianHua-test
PIT 0 15
PIT 1 20
PIT 0 14
PIT 1 1
PIT 0 3
PIT 1 16
PIT 0 2
PIT 1 10
PIT 0 5
PIT 1 27
PIT 0 0
PIT 1 23
PIT 0 10
PIT 1 20
PIT 0 1
PIT 1 17
PIT 0 3
PIT 1 12
PIT 0 13
PIT 1 31
PIT 0 2
PIT 1 2
PIT 0 5
PIT 1 0
PIT 0 8
PIT 1 5
PIT 0 6
PIT 1 26
PIT 0 11
PIT 1 28
PIT 0 12
PIT 1 24
PIT 0 13
PIT 1 8
PIT 0 14
PIT 1 27
PIT 0 10
PIT 1 24
GAMEOVER WINNER 1
# Game ended: Sat Mar 12 09:43:41 EST 2016
