# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1078
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Tue Mar 15 15:48:27 EDT 2016
# Player 1: Player-0, 'JianHua-test', running on localhost
# Player 2: Player-1, 'WeightTest6', running on localhost
START Player-0 JianHua-test
START Player-1 WeightTest6
PIT 0 6
PIT 1 22
PIT 0 7
PIT 1 1
PIT 0 9
PIT 1 16
PIT 0 19
PIT 1 10
PIT 0 14
PIT 1 8
PIT 0 21
PIT 1 19
PIT 0 23
PIT 1 21
PIT 0 15
PIT 1 22
PIT 0 17
PIT 1 23
PIT 0 21
PIT 1 25
PIT 0 23
PIT 1 31
PIT 0 25
PIT 1 1
PIT 0 1
PIT 1 26
PIT 0 10
PIT 1 28
PIT 0 24
PIT 1 30
PIT 0 5
PIT 1 31
PIT 0 18
PIT 1 12
PIT 0 24
PIT 1 16
PIT 0 20
PIT 1 18
PIT 0 22
PIT 1 1
PIT 0 10
PIT 1 9
PIT 0 21
PIT 1 6
PIT 0 13
PIT 1 3
PIT 0 27
PIT 1 4
PIT 0 3
PIT 1 13
PIT 0 4
PIT 1 5
PIT 0 26
PIT 1 9
PIT 0 8
PIT 1 12
PIT 0 28
PIT 1 2
PIT 0 31
PIT 1 13
PIT 0 17
PIT 1 8
PIT 0 28
GAMEOVER WINNER 0
# Game ended: Tue Mar 15 15:49:21 EDT 2016
