# Server version 0.08 running on 192.168.0.101:8123
# Game ID: 1116
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sun Mar 20 15:17:43 EDT 2016
# Player 1: Player-0, 'JianHua-MiniMax', running on localhost
# Player 2: Player-1, 'JianHua-AlphaBeta', running on localhost
START Player-0 JianHua-MiniMax
START Player-1 JianHua-AlphaBeta
PIT 0 0
PIT 1 8
PIT 0 6
PIT 1 6
PIT 0 21
PIT 1 17
PIT 0 19
PIT 1 24
PIT 0 24
PIT 1 12
PIT 0 16
PIT 1 18
PIT 0 18
PIT 1 24
PIT 0 28
PIT 1 23
PIT 0 7
PIT 1 27
PIT 0 8
PIT 1 28
PIT 0 9
PIT 1 31
PIT 0 10
PIT 1 4
PIT 0 11
PIT 1 29
PIT 0 12
PIT 1 26
PIT 0 31
PIT 1 19
PIT 0 23
PIT 1 7
PIT 0 27
PIT 1 9
PIT 0 24
PIT 1 12
PIT 0 13
PIT 1 15
PIT 0 14
PIT 1 23
PIT 0 26
PIT 1 19
PIT 0 5
PIT 1 4
PIT 0 28
PIT 1 13
PIT 0 3
PIT 1 23
PIT 0 7
PIT 1 0
PIT 0 10
PIT 1 17
PIT 0 11
PIT 1 22
GAMEOVER WINNER 1
# Game ended: Sun Mar 20 15:17:44 EDT 2016
