# Server version 0.08 running on 192.168.0.101:8123
# Game ID: 1117
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sun Mar 20 15:17:45 EDT 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'JianHua-MiniMax', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 JianHua-MiniMax
PIT 0 0
PIT 1 8
PIT 0 7
PIT 1 1
PIT 0 21
PIT 1 7
PIT 0 19
PIT 1 18
PIT 0 22
PIT 1 21
PIT 0 27
PIT 1 24
PIT 0 15
PIT 1 27
PIT 0 20
PIT 1 13
PIT 0 21
PIT 1 29
PIT 0 5
PIT 1 1
PIT 0 9
PIT 1 30
PIT 0 19
PIT 1 2
PIT 0 13
PIT 1 6
PIT 0 16
PIT 1 4
PIT 0 24
PIT 1 14
PIT 0 12
PIT 1 7
PIT 0 19
PIT 1 5
PIT 0 1
PIT 1 6
PIT 0 29
PIT 1 9
PIT 0 29
PIT 1 7
PIT 0 10
PIT 1 10
PIT 0 7
PIT 1 12
PIT 0 7
PIT 1 13
PIT 0 13
PIT 1 14
PIT 0 27
PIT 1 11
PIT 0 24
GAMEOVER WINNER 0
# Game ended: Sun Mar 20 15:17:45 EDT 2016
