# Server version 0.08 running on wpa151102.wireless.mcgill.ca:8123
# Game ID: 1129
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Mon Mar 21 11:52:08 EDT 2016
# Player 1: Player-0, 'WeightTest6', running on localhost
# Player 2: Player-1, '260351181', running on localhost
START Player-0 WeightTest6
START Player-1 260351181
PIT 0 22
PIT 1 23
PIT 0 21
PIT 1 16
PIT 0 20
PIT 1 0
PIT 0 23
PIT 1 24
PIT 0 16
PIT 1 1
PIT 0 27
PIT 1 13
PIT 0 20
PIT 1 7
PIT 0 26
PIT 1 8
PIT 0 22
PIT 1 9
PIT 0 30
PIT 1 10
PIT 0 14
PIT 1 11
PIT 0 20
PIT 1 12
PIT 0 27
PIT 1 13
PIT 0 28
