# Server version 0.08 running on 192.168.0.101:8123
# Game ID: 1173
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Tue Mar 22 19:57:34 EDT 2016
# Player 1: Player-0, 'Test4', running on localhost
# Player 2: Player-1, 'WeightTest6', running on localhost
START Player-0 Test4
START Player-1 WeightTest6
PIT 0 23
PIT 1 22
PIT 0 4
PIT 1 4
PIT 0 19
PIT 1 10
PIT 0 24
PIT 1 20
PIT 0 22
PIT 1 23
PIT 0 14
PIT 1 18
PIT 0 20
PIT 1 24
PIT 0 17
PIT 1 17
PIT 0 16
PIT 1 21
PIT 0 22
PIT 1 23
PIT 0 25
