# Server version 0.08 running on 192.168.0.101:8123
# Game ID: 1204
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Wed Mar 23 08:54:11 EDT 2016
# Player 1: Player-0, 'Test4', running on localhost
# Player 2: Player-1, 'WeightTest6', running on localhost
START Player-0 Test4
START Player-1 WeightTest6
PIT 0 23
PIT 1 22
PIT 0 4
PIT 1 4
PIT 0 19
PIT 1 14
PIT 0 22
PIT 1 18
PIT 0 14
PIT 1 20
PIT 0 29
PIT 1 17
PIT 0 13
PIT 1 21
PIT 0 11
PIT 1 25
PIT 0 18
PIT 1 24
PIT 0 22
PIT 1 1
PIT 0 21
PIT 1 13
PIT 0 29
PIT 1 28
PIT 0 20
PIT 1 30
PIT 0 9
PIT 1 0
PIT 0 12
PIT 1 2
PIT 0 27
PIT 1 11
PIT 0 4
PIT 1 1
PIT 0 6
PIT 1 9
PIT 0 18
PIT 1 10
PIT 0 19
PIT 1 14
PIT 0 1
PIT 1 11
PIT 0 27
PIT 1 16
PIT 0 29
PIT 1 8
PIT 0 2
PIT 1 3
PIT 0 13
PIT 1 7
PIT 0 21
PIT 1 15
PIT 0 25
PIT 1 18
PIT 0 18
PIT 1 20
PIT 0 17
PIT 1 19
PIT 0 20
GAMEOVER WINNER 0
# Game ended: Wed Mar 23 08:55:21 EDT 2016
