# Server version 0.08 running on 192.168.0.101:8123
# Game ID: 1226
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sun Mar 27 23:56:53 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 192.168.0.101
# Player 2: Player-1, '260351181', running on 192.168.0.101
START Player-0 RandomHusPlayer
START Player-1 260351181
PIT 0 3
PIT 1 21
PIT 0 16
PIT 1 8
PIT 0 18
PIT 1 11
PIT 0 22
PIT 1 31
PIT 0 15
PIT 1 16
PIT 0 4
PIT 1 26
PIT 0 27
PIT 1 19
PIT 0 28
PIT 1 22
PIT 0 0
PIT 1 8
PIT 0 9
PIT 1 24
GAMEOVER WINNER 1
# Game ended: Sun Mar 27 23:57:07 EDT 2016
