# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1273
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Mon Mar 28 12:29:43 EDT 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'WeightTest7', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 WeightTest7
PIT 0 0
PIT 1 22
PIT 0 4
PIT 1 19
PIT 0 15
PIT 1 18
PIT 0 3
PIT 1 5
PIT 0 21
PIT 1 17
PIT 0 8
PIT 1 18
PIT 0 18
PIT 1 12
PIT 0 24
PIT 1 11
PIT 0 22
PIT 1 21
PIT 0 21
PIT 1 23
PIT 0 19
PIT 1 30
PIT 0 25
PIT 1 1
PIT 0 20
PIT 1 2
