# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1408
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Sat Apr 02 16:37:17 EDT 2016
# Player 1: Player-0, 'Human', running on 192.168.0.100
# Player 2: Player-1, '260351181', running on 192.168.0.100
START Player-0 Human
START Player-1 260351181
PIT 0 23
PIT 1 20
PIT 0 22
PIT 1 7
PIT 0 11
PIT 1 0
PIT 0 17
PIT 1 20
PIT 0 18
PIT 1 17
PIT 0 14
PIT 1 16
PIT 0 20
PIT 1 19
PIT 0 0
PIT 1 1
PIT 0 3
PIT 1 28
PIT 0 1
PIT 1 0
PIT 0 5
PIT 1 3
PIT 0 28
PIT 1 9
PIT 0 6
PIT 1 14
GAMEOVER WINNER 1
# Game ended: Sat Apr 02 16:38:23 EDT 2016
