# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1448
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Mon Apr 04 20:47:28 EDT 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'JianHua', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 JianHua
PIT 0 6
PIT 1 0
PIT 0 15
PIT 1 1
PIT 0 21
PIT 1 3
PIT 0 20
PIT 1 6
PIT 0 27
PIT 1 9
PIT 0 8
PIT 1 10
PIT 0 9
PIT 1 11
PIT 0 1
PIT 1 12
PIT 0 25
PIT 1 13
PIT 0 18
PIT 1 14
PIT 0 4
PIT 1 15
PIT 0 20
PIT 1 16
PIT 0 12
PIT 1 17
PIT 0 28
PIT 1 18
PIT 0 8
PIT 1 19
PIT 0 9
PIT 1 20
PIT 0 16
PIT 1 21
PIT 0 19
PIT 1 22
PIT 0 21
GAMEOVER WINNER 0
# Game ended: Mon Apr 04 20:47:34 EDT 2016
