# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1449
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Mon Apr 04 20:47:35 EDT 2016
# Player 1: Player-0, 'JianHua', running on localhost
# Player 2: Player-1, 'JianHua-AlphaBeta', running on localhost
START Player-0 JianHua
START Player-1 JianHua-AlphaBeta
PIT 0 23
PIT 1 22
PIT 0 0
PIT 1 12
PIT 0 1
PIT 1 21
PIT 0 3
PIT 1 23
PIT 0 5
PIT 1 19
PIT 0 15
PIT 1 24
PIT 0 16
PIT 1 18
PIT 0 22
PIT 1 7
GAMEOVER WINNER 1
# Game ended: Mon Apr 04 20:47:42 EDT 2016
