# Server version 0.08 running on wpa079087.wireless.mcgill.ca:8124
# Game ID: 1459
# Board class: hus.HusBoard
# Timeout: 180000
# First Move Timeout: 180000
# Date: Tue Apr 05 13:55:53 EDT 2016
# Player 1: Player-0, 'JianHua', running on wpa079087.wireless.mcgill.ca
# Player 2: Player-1, 'MiniMaxPlayer4_MyPiecesLeft', running on 142.157.9.78
START Player-0 JianHua
START Player-1 MiniMaxPlayer4_MyPiecesLeft
PIT 0 23
PIT 1 22
PIT 0 22
PIT 1 4
PIT 0 25
PIT 1 14
PIT 0 21
PIT 1 13
PIT 0 17
PIT 1 15
PIT 0 12
PIT 1 20
PIT 0 11
PIT 1 23
PIT 0 13
PIT 1 16
PIT 0 17
PIT 1 22
PIT 0 19
PIT 1 17
PIT 0 21
PIT 1 28
PIT 0 18
PIT 1 0
PIT 0 4
PIT 1 1
PIT 0 23
PIT 1 2
PIT 0 28
PIT 1 24
PIT 0 5
PIT 1 4
PIT 0 7
PIT 1 6
PIT 0 30
PIT 1 8
PIT 0 22
PIT 1 27
PIT 0 1
PIT 1 25
PIT 0 9
PIT 1 26
PIT 0 27
PIT 1 31
PIT 0 28
PIT 1 3
PIT 0 17
PIT 1 11
PIT 0 8
PIT 1 6
PIT 0 7
PIT 1 13
PIT 0 31
PIT 1 10
PIT 0 26
PIT 1 14
PIT 0 29
PIT 1 17
PIT 0 15
PIT 1 8
PIT 0 6
PIT 1 19
PIT 0 25
PIT 1 18
PIT 0 11
PIT 1 20
PIT 0 14
GAMEOVER WINNER 0
# Game ended: Tue Apr 05 13:56:03 EDT 2016
