# Server version 0.08 running on wpa079087.wireless.mcgill.ca:8124
# Game ID: 1460
# Board class: hus.HusBoard
# Timeout: 180000
# First Move Timeout: 180000
# Date: Tue Apr 05 13:56:43 EDT 2016
# Player 1: Player-0, 'MiniMaxPlayer4_MyPiecesLeft', running on 142.157.9.78
# Player 2: Player-1, '260351181', running on wpa079087.wireless.mcgill.ca
START Player-0 MiniMaxPlayer4_MyPiecesLeft
START Player-1 260351181
PIT 0 22
PIT 1 21
PIT 0 4
PIT 1 8
PIT 0 5
PIT 1 1
PIT 0 13
PIT 1 17
PIT 0 14
PIT 1 22
PIT 0 15
PIT 1 21
PIT 0 3
PIT 1 23
PIT 0 19
PIT 1 15
PIT 0 16
PIT 1 14
PIT 0 20
PIT 1 20
PIT 0 18
PIT 1 11
PIT 0 21
PIT 1 12
PIT 0 24
PIT 1 17
PIT 0 22
PIT 1 21
PIT 0 10
PIT 1 27
PIT 0 27
PIT 1 14
PIT 0 29
PIT 1 15
PIT 0 28
PIT 1 0
PIT 0 31
PIT 1 8
PIT 0 4
PIT 1 18
PIT 0 6
PIT 1 1
PIT 0 0
PIT 1 4
PIT 0 2
PIT 1 14
PIT 0 3
PIT 1 2
PIT 0 4
PIT 1 3
PIT 0 9
PIT 1 4
PIT 0 5
PIT 1 9
PIT 0 6
PIT 1 7
PIT 0 10
PIT 1 10
PIT 0 11
PIT 1 27
PIT 0 12
PIT 1 20
PIT 0 16
PIT 1 21
PIT 0 17
PIT 1 14
PIT 0 18
PIT 1 0
GAMEOVER WINNER 1
# Game ended: Tue Apr 05 13:57:51 EDT 2016
