# Server version 0.08 running on wpa079147.wireless.mcgill.ca:8123
# Game ID: 1468
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Tue Apr 05 16:23:12 EDT 2016
# Player 1: Player-0, 'JianHua', running on localhost
# Player 2: Player-1, 'TestPlayer', running on localhost
START Player-0 JianHua
START Player-1 TestPlayer
PIT 0 23
PIT 1 8
PIT 0 1
PIT 1 17
PIT 0 16
PIT 1 15
PIT 0 17
PIT 1 24
PIT 0 7
PIT 1 9
PIT 0 26
PIT 1 16
PIT 0 5
PIT 1 27
PIT 0 19
PIT 1 19
PIT 0 10
PIT 1 23
PIT 0 6
PIT 1 26
PIT 0 16
PIT 1 24
PIT 0 5
PIT 1 28
PIT 0 13
PIT 1 29
PIT 0 30
GAMEOVER WINNER 0
# Game ended: Tue Apr 05 16:23:14 EDT 2016
