# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1473
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Tue Apr 05 21:09:35 EDT 2016
# Player 1: Player-0, 'WeightTest6', running on localhost
# Player 2: Player-1, 'Test1', running on localhost
START Player-0 WeightTest6
START Player-1 Test1
PIT 0 6
PIT 1 22
PIT 0 7
PIT 1 4
PIT 0 21
PIT 1 10
PIT 0 22
PIT 1 19
PIT 0 16
PIT 1 22
PIT 0 19
PIT 1 14
PIT 0 18
PIT 1 11
PIT 0 13
PIT 1 23
PIT 0 14
PIT 1 25
PIT 0 16
PIT 1 20
PIT 0 22
PIT 1 18
PIT 0 25
