# Server version 0.08 running on wpa039096.wireless.mcgill.ca:8123
# Game ID: 1490
# Board class: hus.HusBoard
# Timeout: 6000
# First Move Timeout: 30000
# Date: Wed Apr 06 10:48:08 EDT 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on localhost
# Player 2: Player-1, 'Test', running on localhost
START Player-0 JianHua-AlphaBeta
START Player-1 Test
PIT 0 22
PIT 1 23
PIT 0 21
PIT 1 8
PIT 0 24
PIT 1 15
PIT 0 3
PIT 1 11
PIT 0 26
PIT 1 26
PIT 0 13
PIT 1 21
PIT 0 16
PIT 1 20
PIT 0 20
PIT 1 26
PIT 0 23
PIT 1 4
PIT 0 8
PIT 1 25
PIT 0 29
PIT 1 2
PIT 0 4
PIT 1 5
PIT 0 28
PIT 1 10
PIT 0 0
PIT 1 11
PIT 0 8
PIT 1 24
PIT 0 24
PIT 1 26
PIT 0 30
PIT 1 23
PIT 0 16
PIT 1 25
PIT 0 21
PIT 1 0
PIT 0 0
PIT 1 27
PIT 0 4
PIT 1 5
PIT 0 27
PIT 1 12
PIT 0 31
PIT 1 26
PIT 0 25
PIT 1 16
PIT 0 12
PIT 1 31
PIT 0 22
PIT 1 20
PIT 0 17
PIT 1 19
PIT 0 4
PIT 1 22
PIT 0 8
PIT 1 24
PIT 0 15
PIT 1 25
PIT 0 28
PIT 1 26
PIT 0 26
PIT 1 28
PIT 0 15
PIT 1 27
PIT 0 22
PIT 1 30
PIT 0 7
PIT 1 4
PIT 0 17
PIT 1 1
PIT 0 4
PIT 1 2
PIT 0 5
PIT 1 5
PIT 0 22
PIT 1 7
PIT 0 31
PIT 1 8
PIT 0 30
PIT 1 12
PIT 0 31
PIT 1 13
PIT 0 17
PIT 1 9
PIT 0 5
PIT 1 14
PIT 0 24
PIT 1 11
PIT 0 17
PIT 1 13
PIT 0 1
PIT 1 14
PIT 0 20
PIT 1 12
PIT 0 15
PIT 1 15
PIT 0 26
PIT 1 16
PIT 0 20
GAMEOVER WINNER 0
# Game ended: Wed Apr 06 10:48:37 EDT 2016
