# Server version 0.08 running on wpa039096.wireless.mcgill.ca:8123
# Game ID: 1502
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Wed Apr 06 11:09:25 EDT 2016
# Player 1: Player-0, 'Test', running on wpa039096.wireless.mcgill.ca
# Player 2: Player-1, 'JianHua-AlphaBeta', running on wpa039096.wireless.mcgill.ca
START Player-0 Test
START Player-1 JianHua-AlphaBeta
PIT 0 0
PIT 1 4
PIT 0 21
PIT 1 17
PIT 0 15
PIT 1 11
PIT 0 6
PIT 1 16
PIT 0 10
PIT 1 17
PIT 0 23
PIT 1 20
PIT 0 19
PIT 1 19
PIT 0 15
PIT 1 29
PIT 0 4
PIT 1 21
PIT 0 12
PIT 1 26
PIT 0 22
PIT 1 27
PIT 0 25
PIT 1 28
PIT 0 18
PIT 1 30
PIT 0 0
PIT 1 11
PIT 0 11
PIT 1 7
PIT 0 14
PIT 1 29
PIT 0 23
PIT 1 14
PIT 0 27
PIT 1 16
PIT 0 1
PIT 1 4
PIT 0 3
PIT 1 10
PIT 0 14
PIT 1 11
PIT 0 0
PIT 1 5
PIT 0 5
PIT 1 12
PIT 0 1
PIT 1 13
PIT 0 3
PIT 1 14
PIT 0 18
PIT 1 17
PIT 0 6
PIT 1 19
PIT 0 23
PIT 1 20
PIT 0 3
GAMEOVER WINNER 0
# Game ended: Wed Apr 06 11:09:40 EDT 2016
