# Server version 0.08 running on wpa078252.wireless.mcgill.ca:8123
# Game ID: 1506
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Wed Apr 06 12:30:54 EDT 2016
# Player 1: Player-0, 'WeightTest8', running on wpa078252.wireless.mcgill.ca
# Player 2: Player-1, 'Test', running on wpa078252.wireless.mcgill.ca
START Player-0 WeightTest8
START Player-1 Test
PIT 0 23
PIT 1 22
PIT 0 22
PIT 1 4
PIT 0 25
PIT 1 21
PIT 0 14
PIT 1 13
PIT 0 9
PIT 1 22
PIT 0 16
PIT 1 7
PIT 0 15
PIT 1 20
PIT 0 27
PIT 1 23
PIT 0 29
PIT 1 28
PIT 0 1
PIT 1 0
PIT 0 30
PIT 1 2
PIT 0 5
PIT 1 31
PIT 0 28
PIT 1 10
PIT 0 20
PIT 1 8
PIT 0 23
PIT 1 25
PIT 0 1
PIT 1 9
PIT 0 21
PIT 1 16
PIT 0 27
PIT 1 2
PIT 0 30
PIT 1 17
PIT 0 15
PIT 1 29
PIT 0 18
PIT 1 27
PIT 0 13
PIT 1 15
PIT 0 5
PIT 1 18
PIT 0 22
PIT 1 4
PIT 0 16
PIT 1 8
PIT 0 19
PIT 1 5
PIT 0 18
PIT 1 20
PIT 0 20
PIT 1 11
PIT 0 4
PIT 1 12
PIT 0 25
PIT 1 13
PIT 0 31
PIT 1 14
PIT 0 1
GAMEOVER WINNER 0
# Game ended: Wed Apr 06 12:31:04 EDT 2016
