# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1546
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Thu Apr 07 07:04:15 EDT 2016
# Player 1: Player-0, 'Test7', running on localhost
# Player 2: Player-1, 'JianHua-AlphaBeta', running on localhost
START Player-0 Test7
START Player-1 JianHua-AlphaBeta
PIT 0 23
PIT 1 22
PIT 0 4
PIT 1 7
PIT 0 25
PIT 1 14
PIT 0 17
PIT 1 13
PIT 0 16
PIT 1 15
PIT 0 24
PIT 1 25
PIT 0 22
PIT 1 1
PIT 0 18
PIT 1 0
PIT 0 26
PIT 1 18
PIT 0 20
PIT 1 17
PIT 0 30
