# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1655
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Thu Apr 07 13:55:57 EDT 2016
# Player 1: Player-0, 'WeightTest8', running on 192.168.0.100
# Player 2: Player-1, 'Test7', running on 192.168.0.100
START Player-0 WeightTest8
START Player-1 Test7
PIT 0 23
PIT 1 20
PIT 0 2
PIT 1 4
PIT 0 24
PIT 1 3
PIT 0 20
PIT 1 16
PIT 0 22
PIT 1 14
PIT 0 0
PIT 1 0
PIT 0 8
PIT 1 18
PIT 0 14
PIT 1 13
PIT 0 17
PIT 1 11
PIT 0 12
PIT 1 27
PIT 0 23
PIT 1 23
PIT 0 26
PIT 1 25
PIT 0 24
PIT 1 5
PIT 0 29
PIT 1 26
PIT 0 30
PIT 1 10
PIT 0 0
PIT 1 15
PIT 0 28
PIT 1 29
PIT 0 27
PIT 1 0
PIT 0 21
PIT 1 13
PIT 0 26
PIT 1 5
PIT 0 29
PIT 1 28
PIT 0 28
PIT 1 31
PIT 0 14
PIT 1 1
PIT 0 15
PIT 1 2
PIT 0 18
PIT 1 7
PIT 0 29
PIT 1 14
PIT 0 21
GAMEOVER USER CANCEL UNDECIDED
# Game ended: Thu Apr 07 13:56:55 EDT 2016
