# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1767
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Sat Apr 30 09:29:43 EDT 2016
# Player 1: Player-0, 'MCTS', running on 192.168.0.100
# Player 2: Player-1, '260351181', running on 192.168.0.100
START Player-0 MCTS
START Player-1 260351181
PIT 0 0
PIT 1 20
PIT 0 6
PIT 1 1
PIT 0 22
PIT 1 23
PIT 0 4
PIT 1 19
PIT 0 16
PIT 1 25
PIT 0 1
PIT 1 16
PIT 0 20
PIT 1 8
PIT 0 24
PIT 1 0
PIT 0 21
PIT 1 4
PIT 0 31
PIT 1 5
PIT 0 12
PIT 1 6
PIT 0 13
GAMEOVER USER CANCEL UNDECIDED
# Game ended: Sat Apr 30 09:30:26 EDT 2016
