# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1773
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Sat Apr 30 20:27:48 EDT 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on 192.168.0.100
# Player 2: Player-1, '260351181', running on 192.168.0.100
START Player-0 JianHua-AlphaBeta
START Player-1 260351181
PIT 0 0
PIT 1 20
PIT 0 7
PIT 1 12
PIT 0 9
PIT 1 16
PIT 0 14
PIT 1 20
PIT 0 26
PIT 1 4
PIT 0 15
PIT 1 3
PIT 0 17
PIT 1 2
PIT 0 14
PIT 1 1
PIT 0 13
PIT 1 15
PIT 0 24
PIT 1 7
PIT 0 22
PIT 1 0
PIT 0 2
GAMEOVER WINNER 0
# Game ended: Sat Apr 30 20:28:08 EDT 2016
