# Server version 0.08 running on asavpn23430.vpn.mcgill.ca:8123
# Game ID: 1788
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Sun May 01 23:52:29 EDT 2016
# Player 1: Player-0, 'NegaMax', running on asavpn23430.vpn.mcgill.ca
# Player 2: Player-1, 'WeightTest3', running on asavpn23430.vpn.mcgill.ca
START Player-0 NegaMax
START Player-1 WeightTest3
PIT 0 14
PIT 1 6
PIT 0 11
PIT 1 5
PIT 0 18
PIT 1 19
PIT 0 12
PIT 1 21
PIT 0 20
PIT 1 13
PIT 0 17
PIT 1 10
PIT 0 19
PIT 1 16
PIT 0 28
PIT 1 18
PIT 0 3
PIT 1 15
PIT 0 5
PIT 1 0
PIT 0 6
PIT 1 12
PIT 0 7
PIT 1 13
PIT 0 11
PIT 1 15
PIT 0 12
PIT 1 27
PIT 0 17
PIT 1 21
PIT 0 16
PIT 1 27
GAMEOVER WINNER 1
# Game ended: Sun May 01 23:52:34 EDT 2016
