# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1802
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Mon May 02 20:02:27 EDT 2016
# Player 1: Player-0, 'JianHua-AlphaBeta', running on 192.168.0.100
# Player 2: Player-1, 'NegaMax', running on 192.168.0.100
START Player-0 JianHua-AlphaBeta
START Player-1 NegaMax
PIT 0 22
PIT 1 23
PIT 0 21
PIT 1 8
PIT 0 24
PIT 1 11
PIT 0 3
PIT 1 1
PIT 0 26
PIT 1 17
PIT 0 15
PIT 1 18
PIT 0 22
PIT 1 24
PIT 0 13
PIT 1 27
PIT 0 17
PIT 1 29
PIT 0 23
PIT 1 21
PIT 0 7
PIT 1 26
PIT 0 9
PIT 1 20
PIT 0 16
PIT 1 29
PIT 0 12
PIT 1 22
PIT 0 21
PIT 1 24
PIT 0 17
PIT 1 23
PIT 0 24
PIT 1 29
PIT 0 2
PIT 1 26
PIT 0 19
PIT 1 6
PIT 0 3
PIT 1 31
PIT 0 20
PIT 1 3
PIT 0 9
PIT 1 10
PIT 0 2
PIT 1 27
PIT 0 20
PIT 1 16
PIT 0 21
PIT 1 1
PIT 0 4
PIT 1 18
PIT 0 15
PIT 1 8
PIT 0 16
PIT 1 15
PIT 0 8
GAMEOVER WINNER 0
# Game ended: Mon May 02 20:02:33 EDT 2016
